Prov-nummer	Art	Kända resistensgener samt PVL	Känd MLST eller Spa-typ	AMRFinderPlus gener
MRR160065	K. pneumoniae	tet_A_.6_AF534183, aac_6___Il.1_U13880, blaSHV_126_GQ390808, dfrA1.9_AJ238350, ARR_2.1_HQ141279, rmtB.1_AB103506, aph_3____Ib.5_AF321551, blaOXA_10.1_J03427, blaSHV_16.1_AF072684, aac_3__I.1_AJ877225, sul2.2_AY034138, ant_2____Ia.1_X04555, sul1.2_U12338, blaTEM_118_AY130285.1, floR.2_AF118107, aph_6__Id.1_M28829, qacE.1_X68232, blaTEM_1_2d, blaSHV_16, aph_3___Ia.7_X62115, blaVIM_1.1_Y18050, aadA1.5_JX185132, aac_6___Ib3.1_X60321, blaTEM_1B.1_AY458016, blaVEB_1.3_DQ393569, tet_G_.2_AF133140, cmlA1.1_M64556, blaVEB_1_2d, fosA.3_ACWO01000079, blaVIM_1, blaOXA_10_2d	aST29, ST29	sul2, aph(3'')-Ib, aph(6)-Id, tet(A), gyrA_S83Y, blaTEM-1, rmtB1, tet(G), floR2, blaOXA-10, cmlA5, arr-2, ant(2'')-Ia, blaVEB-1, fosA, aac(6')-Ib3, aac(3)-Ia, blaVIM-1, aac(6')-Il, dfrA1, aph(3')-Ia, qacEdelta1
MRR160066	K. pneumoniae	blaKPC_2.1_AY034847, blaOXA_9, OqxA.1_EU370913_2, fosA.5_AFBO01000747, blaSHV_123_GQ390805, blaKPC_9, qacE.1_X68232, OqxB.1_EU370913_2, blaSHV_16, blaKPC_2, aph_3___Ia.1_V00359, dfrA12.8_AM040708, blaTEM_1A.1_HM749966, mph_A_.1_D16251, aadA2.2_JQ364967, blaTEM_1, catA1.1_V00622, blaOXA_9.1_KQ089875, sul1.2_U12338, aac_6___Ib.1_M21682, blaTEM_118_AY130285.1	aST258, ST258	oqxR_Q11L, oqxB, oqxA, mph(A), sul1, qacEdelta1, aadA2, dfrA12, catA1, blaKPC-2, pmrB_R256G, blaOXA, aph(3')-Ia, aac(6')-Ib', fosA, blaTEM, blaTEM, blaTEM, gyrA_S83I
PK161096A	K. pneumoniae	OqxA.1_EU370913_2, OqxB.1_EU370913_2, blaSHV_152, blaSHV_1_16d, blaSHV_99.1_AM941845, fosA.3_ACWO01000079	aSTNovel	blaSHV-1, oqxB5, oqxA, fosA
MRR160074	P. mirabilis	aadA2b.1_D43625, blaCTX_M_15.1_AY044436, blaCTX_M_108_JF274245.1, aadA5.1_AF137361, blaTEM_1B.1_AY458016, cat.1_M11587, tet_J_.1_ACLE01000065, cmlA1.1_M64556, ant_2____Ia.1_X04555, catA1.1_V00622, dfrA1.8_X00926, qacE.1_X68232, sul1.2_U12338, blaTEM_1_2d, aph_6__Id.3_AB109805, aph_3____Ib.5_AF321551, blaTEM_118_AY130285.1, blaCTX_M_15	aSTNone	blaTEM-1, blaCTX-M-15, ant(2'')-Ia, cmlA5, aadA2, aph(3'')-Ib, aph(6)-Id, catA1, dfrA1, catA, aadA5, qacEdelta1, tet(J)
PD164637B	P. mirabilis	blaPER_5, sul2.3_HQ840942, blaPER_1_KP054476, cat.1_M11587, tet_J_.1_ACLE01000065, aph_6__Id.1_M28829, qacE.1_X68232, blaTEM_1_2d, dfrA7.1_AB161450, aph_3____Ib.5_AF321551, blaPER_1.1_GU944725, aadA2b.1_D43625, aph_3___Ia.1_V00359, blaTEM_1B.1_AY458016, ant_3____Ia.1_X02340, ant_2____Ia.1_X04555, catA1.1_V00622, sul1.2_U12338, blaTEM_118_AY130285.1	aSTNone	catA1, blaPER-1, aph(6)-Id, aph(3'')-Ib, sul2, ant(3'')-Ia, qacE, qacE, blaTEM-1, aph(3')-Ia, sul1, sul1, sul1, dfrA7, ant(2'')-Ia, tet(J), catA
MRR160070	P. vulgaris	aac_6___Ib3.1_X60321, sul2.2_AY034138, blaTEM_24.1_GQ293500, ant_3____Ia.1_X02340, sul1.2_U12338, qacE.1_X68232, tet_H_.2_AJ245947, blaTEM_22, blaTEM_24, floR.2_AF118107	aSTNone	sul2, floR, sul1, qacEdelta1, aac(6')-Ib3, blaTEM-24
MRR160068	P. aeruginosa	blaOXA_50.1_AY306130, aph_3___VIa.1_X07753, aac_6___Ib3.1_X60321, blaPAO.4_AY083592, blaIMP_13.1_AJ550807, ant_3____Ia.1_X02340, blaIMP_68.1_MF669572, catB7.1_AF036933, crpP.1_HM560971, qacE.1_X68232, fosA.4_ACWU01000146, sul1.2_U12338, blaIMP_13_NG_049176, aph_3___IIb.2_CP006832	aST621, ST621	blaOXA-914, aph(3')-IIb, blaPDC-5, catB7, sul1, qacEdelta1, aac(6')-Ib4, blaIMP-13, crpP, aph(3')-VIa, fosA
PY153330	P. aeruginosa	aph_3___Ia.1_V00359, blaPAO.4_AY083592, blaIMP_1_AB472901_2, aadA6.1_AF140629, ant_3____Ia.1_X02340, ant_2____Ia.1_X04555, blaOXA_488.1_CP017969, catB7.1_AF036933, crpP.1_HM560971, dfrA1.8_X00926, fosA.4_ACWU01000146, qacE.1_X68232, sul1.2_U12338, blaIMP_1.1_EF027105, aph_3___IIb.2_CP006832	aST235, ST235	fosA, blaOXA-488, aph(3')-IIb, blaPDC-35, catB7, blaIMP-1, aac(6')-Ib4, aac(6')-Ib4, ant(2'')-Ia, dfrA1, qacE, sul1, aadA6, crpP
HY161669	S. aureus	blaZ.97_FMOK01000003, tet_K_.1_U38656, mecA.6_BX571856, mecA_15_AB505628	aST88, ST88, t1339	blaZ, blaR1, blaI, tet(K), tet(38), mecA
HY170610	S. aureus	cfr_C_.1_KX686749, erm_C_.13_M13761, tet_K_.1_U38656, aph_3___III.1_M26832, mecA_15_AB505628, ant_6__Ia.1_AF330699, mecA.6_BX571856, erm_33_.1_AJ579365, blaZ.7_AP004832, ant_6__Ia.2_KF421157	aST1, ST1, t386	blaI, blaR1, blaZ, ant(6)-Ia, sat4, aph(3')-IIIa, erm(C), erm(C), tet(K), mecA, tet(38)
HY170721	S. aureus	cfr_C_.1_KX686749, erm_C_.13_M13761, tet_K_.1_U38656, aph_3___III.1_M26832, mecA_15_AB505628, ant_6__Ia.1_AF330699, mecA.6_BX571856, erm_33_.1_AJ579365, blaZ.7_AP004832, ant_6__Ia.2_KF421157	aST1, ST1, t386	blaZ, blaR1, blaI, aph(3')-IIIa, sat4, ant(6)-Ia, tet(K), erm(C), mecA, tet(38)
HY170908	S. aureus	cfr_C_.1_KX686749, erm_C_.13_M13761, tet_K_.1_U38656, aph_3___III.1_M26832, mecA_15_AB505628, ant_6__Ia.1_AF330699, mecA.6_BX571856, erm_33_.1_AJ579365, blaZ.7_AP004832, ant_6__Ia.2_KF421157	aST1, ST1, t386	erm(C), tet(38), mecA, blaZ, blaR1, blaI, aph(3')-IIIa, sat4, ant(6)-Ia, tet(K)
HY170910	S. aureus	cfr_C_.1_KX686749, erm_C_.13_M13761, tet_K_.1_U38656, aph_3___III.1_M26832, mecA_15_AB505628, ant_6__Ia.1_AF330699, mecA.6_BX571856, erm_33_.1_AJ579365, blaZ.7_AP004832, ant_6__Ia.2_KF421157	aST1, ST1, t386	blaZ, blaR1, blaI, aph(3')-IIIa, sat4, ant(6)-Ia, tet(K), erm(C), mecA, tet(38)
HY171014	S. aureus	cfr_C_.1_KX686749, erm_C_.13_M13761, tet_K_.1_U38656, aph_3___III.1_M26832, mecA_15_AB505628, ant_6__Ia.1_AF330699, mecA.6_BX571856, blaZ.7_AP004832, ant_6__Ia.2_KF421157	aST1, ST1, t386	tet(K), erm(C), mecA, tet(38), blaZ, blaR1, blaI, aph(3')-IIIa, sat4, ant(6)-Ia
HY171211	S. aureus	cfr_C_.1_KX686749, erm_C_.13_M13761, tet_K_.1_U38656, aph_3___III.1_M26832, mecA_15_AB505628, ant_6__Ia.1_AF330699, mecA.6_BX571856, blaZ.7_AP004832, ant_6__Ia.2_KF421157	aST1, ST1, t386	aph(3')-IIIa, sat4, ant(6)-Ia, tet(K), erm(C), mecA, tet(38), blaZ, blaR1, blaI
HY171212	S. aureus	cfr_C_.1_KX686749, erm_C_.13_M13761, tet_K_.1_U38656, aph_3___III.1_M26832, mecA_15_AB505628, ant_6__Ia.1_AF330699, mecA.6_BX571856, blaZ.7_AP004832, ant_6__Ia.2_KF421157	aST1, ST1, t386	blaI, blaR1, blaZ, ant(6)-Ia, sat4, aph(3')-IIIa, tet(K), erm(C), mecA, tet(38)
HY175294	S. aureus	erm_A_.1_X03216, ant_9__Ia.1_X02588, mecA_4_AB033763, mecA.2_NC_002951, aac_6___aph_2___.1_M13771, tet_M_.7_FN433596	aST247, ST247, t051	rpoB_H481N, tet(38), gyrA_S84L, erm(A), ant(9)-Ia, mecA, parC_S80F, aac(6')-Ie/aph(2'')-Ia, fosB
HY175295	S. aureus	cfr_C_.1_KX686749, aph_3___III.1_M26832, mecA_15_AB505628, ant_6__Ia.1_AF330699, mecA.6_BX571856, blaZ.7_AP004832, ant_6__Ia.2_KF421157	aST45, ST45, t004	parC_S80F, gyrA_S84L, mecA, tet(38), murA_E291D, murA_T396N, blaI, blaR1, blaZ, ant(6)-Ia, sat4, aph(3')-IIIa
HY175296	S. aureus	mecA.6_BX571856, mecA_15_AB505628, aadD.2_M19465, blaZ.7_AP004832	aST1, ST1, t127	aadD1, bleO, mecA, tet(38), blaI, blaR1, blaZ
HY175297	S. aureus	cfr_C_.1_KX686749, aph_3___III.1_M26832, mecA_15_AB505628, ant_6__Ia.1_AF330699, mecA.6_BX571856, blaZ.7_AP004832, ant_6__Ia.2_KF421157	aST45, ST45, t004	ant(6)-Ia, sat4, aph(3')-IIIa, parC_S80F, gyrA_S84L, mecA, tet(38), murA_E291D, murA_T396N, blaI, blaR1, blaZ
HY175298	S. aureus	erm_A_.1_X03216, ant_9__Ia.1_X02588, mecA_4_AB033763, cat_pC194_.1_NC_002013, mecA.2_NC_002951, aac_6___aph_2___.1_M13771, tet_M_.1_X92947	aST254, ST254, t009	catA, catA, dfrB_F99Y, dfrB_H31N, parC_S80F, mecA, aac(6')-Ie/aph(2'')-Ia, fosB, tet(M), gyrA_S84L, tet(38), ant(9)-Ia, erm(A)
HY175299	S. aureus	erm_A_.1_X03216, mecA_15_AB505628, ant_9__Ia.1_X02588, mecA.6_BX571856, aadD.2_M19465	aST5*, ST5, t002	ant(9)-Ia, erm(A), mecI, mecR1, mecA, aadD1, bleO, gyrA_S84L, fosB, tet(38), parC_S80F
HY175300	S. aureus	cfr_C_.1_KX686749, aph_3___III.1_M26832, mecA_15_AB505628, ant_6__Ia.1_AF330699, mecA.6_BX571856, blaZ.7_AP004832, ant_6__Ia.2_KF421157	aST45, ST45, t004	ant(6)-Ia, sat4, aph(3')-IIIa, parC_S80F, gyrA_S84L, mecA, tet(38), murA_E291D, murA_T396N, blaI, blaR1, blaZ
HY175301	S. aureus	erm_A_.1_X03216, ant_9__Ia.1_X02588, blaZ.11_AJ400722, mecA_15_AB505628, qacA.1_AB566410, aac_6___aph_2___.1_M13771, mecA.6_BX571856	aST228, ST228, t001	gyrA_S84L, qacA, blaI, blaR1, blaR1, blaZ, mecA, tet(38), parC_S80F, fosB, ant(9)-Ia, erm(A), aac(6')-Ie/aph(2'')-Ia
HY175302	S. aureus	erm_A_.1_X03216, mecA_15_AB505628, ant_9__Ia.1_X02588, mecA.6_BX571856, aadD.2_M19465	aST5*, ST5, t002	erm(A), ant(9)-Ia, fosB, gyrA_S84L, bleO, aadD1, mecA, mecR1, mecI, tet(38), parC_S80F
HY176190	S. aureus	blaZ.97_FMOK01000003, mecA_15_AB505628, mecA.6_BX571856	aST88, ST88, t1339	mecA, tet(38), blaZ, blaR1, blaI
HY176242	S. aureus	msr_A_.1_X52085, mecA_15_AB505628, tet_K_.1_U38656, mecA.6_BX571856, mph_C_.2_AF167161	aST5, ST5, t088	mph(C), msr(A), mecA, tet(K), fosB, tet(38)
HY176435	S. aureus	PVL_FJ895584, blaZ.3_CP000732, mecA_15_AB505628, mecA.6_BX571856	aST8*, ST8, t1171	mecA, blaZ, blaR1, blaI, fosB, tet(38), murA_G257D
HY176898	S. aureus	erm_C_.13_M13761, tet_K_.1_U38656, blaZ.5_AJ302698, PVL_HM584703, mecA.2_NC_002951, fusB.1_AY373761, mecA_4_AB033763, erm_33_.1_AJ579365	aST80, ST80, t1028	mecA, blaI, blaR1, blaZ, tet(K), fusB, erm(C), tet(38)
HY177532	S. aureus	cfr_C_.1_KX686749, PVL_JN635508, blaZ.13_KF471116, aph_3___III.1_M26832, mecA_15_AB505628, ant_6__Ia.1_AF330699, erm_B_.10_U86375, mecA.6_BX571856, ant_6__Ia.2_KF421157	aST59, ST59, t3527	murA_E291D, murA_T396N, mecA, tet(38), ant(6)-Ia, aph(3')-IIIa, erm(B), blaI, blaR1, blaR1, blaZ
PU117379	S. aureus	blaZ.10_FR823292, mecC_2_FR821779__mecA_6_, mecC.1_FR821779	aST130, ST130, t528	tet(38), mecI, mecC, blaZ, murA_E291D, murA_T396N
PY1704281	S. aureus	blaZ.10_FR823292, mecC_2_FR821779__mecA_6_, mecC.1_FR821779	aST130, ST130, t843	blaZ, mecC, mecI, tet(38), murA_E291D, murA_T396N
PY1704946	S. aureus	mecA_10_AB512767, blaZ.13_KF471116, mecA.8_NC_007168, PVL_HM584708	aSTNovel*, t437	murA_E291D, murA_T396N, tet(38), blaZ, blaR1, blaR1, blaI, mecA
PY1705269	S. aureus	blaZ.10_FR823292, mecC_2_FR821779__mecA_6_, mecC.1_FR821779	aST130, ST130, t16761	tet(38), mecI, mecC, blaZ, murA_E291D, murA_T396N
PY1706490	S. aureus	mecA_10_AB512767, fusC.1_KF527883, aac_6___aph_2___.1_M13771, PVL_FJ895584, mecA.8_NC_007168	aST1, ST1, t127	fusC, mecA, aac(6')-Ie/aph(2'')-Ia, tet(38)
PY1707502	S. aureus	erm_C_.13_M13761, tet_K_.1_U38656, blaZ.5_AJ302698, PVL_HM584703, mecA.2_NC_002951, fusB.1_AY373761, mecA_4_AB033763, erm_33_.1_AJ579365	aST80, ST80, t044	blaZ, blaR1, blaI, mecA, tet(K), fusB, erm(C), tet(38)
PY1707767	S. aureus	mecA_15_AB505628, mecA.6_BX571856, PVL_EU368820, blaZ.11_AJ400722	aST30, ST30, t019	mecA, tet(38), blaPC1, blaR1, blaI, murA_D278E, murA_E291D, fosB, glpT_V213I
SASPA17S-01	S. aureus	mecA.6_BX571856, mecA_15_AB505628, aadD.2_M19465, blaZ.29_JDXN01000019	aST8, ST8, t008	blaI, blaR1, blaR1, blaZ, mecA, bleO, aadD1, gyrA_S84L, fosB, tet(38), murA_G257D, parC_E84V, parC_S80Y
SASPA17S-02	S. aureus	erm_A_.1_X03216, ant_9__Ia.1_X02588, blaZ.29_JDXN01000019, aadD.2_M19465, mecA_15_AB505628, mecA.6_BX571856	aST225, ST225, t003	blaZ, blaR1, blaR1, blaI, ant(9)-Ia, erm(A), mecI, mecR1, mecA, aadD1, bleO, gyrA_S84L, fosB, parC_S80F, parE_P585S, tet(38)
SASPA17S-03	S. aureus	tet_M_.13_AM990992, tet_K_.1_U38656, mecA_10_AB512767, str.2_FN435330, blaZ.95_MAJJ01000071, mecA.8_NC_007168	aST398, ST398, t108	mecA, tet(K), str, tet(M), glpT_F3I, tet(38), blaZ, blaI, murA_D278E, murA_E291D
SASPA17S-04	S. aureus	dfrK.2_FN677369, tet_M_.13_AM990992, str.2_FN435330, mecA_15_AB505628, aac_6___aph_2___.1_M13771, blaZ.95_MAJJ01000071, mecA.6_BX571856	aST398, ST398, t011	parC_S80F, blaZ, blaI, mecA, tet(M), str, spd, gyrA_S84L, aac(6')-Ie/aph(2'')-Ia, glpT_F3I, dfrK, murA_D278E, murA_E291D, tet(38)
SASPA17S-05	S. aureus	erm_A_.1_X03216, ant_9__Ia.1_X02588, blaZ.29_JDXN01000019, aadD.2_M19465, mecA_15_AB505628, mecA.6_BX571856	aST5, ST5, t002	mecA, mecR1, mecI, gyrA_S84L, fosB, blaZ, blaR1, blaR1, blaI, ant(9)-Ia, erm(A), bleO, aadD1, parC_S80F, tet(38)
SASPA17S-06	S. aureus	mecA.2_NC_002951, erm_C_.13_M13761, mecA_4_AB033763, erm_33_.1_AJ579365, blaZ.138_CP003979	aST22, ST22, t032	gyrA_S84L, mecA, tet(38), blaI, blaZ, erm(C), parE_P585S, parC_S80F
Stam-146	S. aureus	PVL_HM584708	aST30, ST30, t438	murA_D278E, murA_E291D, tet(38), glpT_V213I, fosB
Stam-121	S. saprophyticus		aSTNone	fusD
